kof97.zip|KOF 97|拳皇97
alpham2p.zip|AlphaMissionII/ASOII-LastGuardian(prototype)|阿尔法任务II-最后的守护神(工程版)
alphamis.zip|AlphaMission|阿尔法任务
alphaxz.zip|TheAlphaxZ(Japan)|阿尔法克斯Z(日版)
altbeast.zip|AlteredBeast(set8-8751317-0078)|兽王记(第8套-8751317-0078)
altbeast2.zip|AlteredBeast(set2-MC-8123B317-0066)|兽王记(第2套-MC-8123B317-0066)
altbeast4.zip|AlteredBeast(set4-MC-8123B317-0066)|兽王记(第4套-MC-8123B317-0066)
altbeast5.zip|AlteredBeast(set5-FD1094317-0069)|兽王记(第5套-FD1094317-0069)
altbeast5d.zip|AlteredBeast(set5-FD1094317-0069decrypted)|兽王记(第5套-FD1094317-0069解密版)
altbeast6.zip|AlteredBeast(set6-8751317-0076)|兽王记(第6套-8751317-0076)
altbeastj.zip|Juuouki(set7-Japan-8751317-0077)|兽王记(第7套-日版-8751317-0077)
altbeastj1.zip|Juuouki(set1-Japan-FD1094317-0065)|兽王记(第1套-日版-FD1094317-0065)
altbeastj3.zip|Juuouki(set3-Japan-FD1094317-0068)|兽王记(第3套-日版-FD1094317-0068)
altbeastj3d.zip|Juuouki(set3-Japan-FD1094317-0068decrypted)|兽王记(第3套-日版-FD1094317-0068解密版)
amatelas.zip|SeiSenshiAmatelass|圣战士阿玛迪斯
amazon.zip|SoldierGirlAmazon|亚马逊女战士
ambush.zip|Ambush|阿米巴契战机
ambushh.zip|Ambush(hack?)|阿米巴契战机(修改版?)
ambushj.zip|Ambush(Japan)|阿米巴契战机(日版)
ambushv.zip|Ambush(VoltElecco-ltd)|阿米巴契战机(VoltElecco-ltd)
amidarb.zip|Amidar(bootleg)|占地金刚(A版)
amspdwy.zip|AmericanSpeedway(set1)|美国环绕赛车(第1套)
amspdwya.zip|AmericanSpeedway(set2)|美国环绕赛车(第2套)
androdun.zip|AndroDunos(NGM-049)(NGH-049)|勇者之击(NGM-049)(NGH-049)
androidp.zip|Android(prototype-laterbuild)|机器战机(工程版-晚期版)
androidpo.zip|Android(prototype-earlybuild)|机器战机(工程版-早期版)
angelkds.zip|AngelKids(Japan)|天使奇妙冒险(日版)
anteater.zip|Anteater|食蚁兽
anteaterg.zip|Ameisenbaer(German)|食蚁兽(德国版)
anteateruk.zip|TheAnteater(UK)|食蚁兽(英国版)
aodk.zip|AggressorsofDarkKombat/TsuukaiGANGANKoushinkyok|痛快GANGAN进行曲(ADM-008)(ADH-008)
appoooh.zip|Appoooh|火爆摔角
aquarium.zip|Aquarium(US)|水族馆(美版)
aquariumj.zip|Aquarium(Japan)|水族馆(日版)
arabian.zip|Arabian|阿拉丁
arabiana.zip|Arabian(Atari)|阿拉丁(Atari)
